Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 17:00:00,Sri Lanka,Sri Lanka,LK,313.55,396.77,48.59,48.59,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 18:00:00,Sri Lanka,Sri Lanka,LK,323.02,403.93,47.99,47.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 19:00:00,Sri Lanka,Sri Lanka,LK,328.01,406.71,47.91,47.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 20:00:00,Sri Lanka,Sri Lanka,LK,332.77,411.12,47.43,47.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 21:00:00,Sri Lanka,Sri Lanka,LK,336.47,414.62,47.04,47.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 22:00:00,Sri Lanka,Sri Lanka,LK,333.95,412.16,47.33,47.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 23:00:00,Sri Lanka,Sri Lanka,LK,318.61,399.42,48.55,48.55,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 00:00:00,Sri Lanka,Sri Lanka,LK,292.76,372.78,51.84,51.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 01:00:00,Sri Lanka,Sri Lanka,LK,305.15,386.77,50.0,50.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 02:00:00,Sri Lanka,Sri Lanka,LK,316.59,400.52,48.13,48.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 03:00:00,Sri Lanka,Sri Lanka,LK,307.75,392.04,49.12,49.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 04:00:00,Sri Lanka,Sri Lanka,LK,308.11,393.17,48.91,48.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 05:00:00,Sri Lanka,Sri Lanka,LK,306.28,391.38,49.13,49.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 06:00:00,Sri Lanka,Sri Lanka,LK,302.25,386.88,49.72,49.72,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 07:00:00,Sri Lanka,Sri Lanka,LK,308.98,394.18,48.78,48.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 08:00:00,Sri Lanka,Sri Lanka,LK,311.85,397.71,48.27,48.27,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 09:00:00,Sri Lanka,Sri Lanka,LK,306.36,393.86,48.52,48.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 10:00:00,Sri Lanka,Sri Lanka,LK,303.15,391.93,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 11:00:00,Sri Lanka,Sri Lanka,LK,305.53,396.33,47.79,47.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 12:00:00,Sri Lanka,Sri Lanka,LK,303.02,394.86,47.83,47.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 13:00:00,Sri Lanka,Sri Lanka,LK,279.93,368.21,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 14:00:00,Sri Lanka,Sri Lanka,LK,284.36,372.24,50.99,50.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 15:00:00,Sri Lanka,Sri Lanka,LK,294.64,381.87,49.91,49.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 16:00:00,Sri Lanka,Sri Lanka,LK,304.43,390.29,49.06,49.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
